Source,Target,Weight,Type
EHemingway_OldMan,Dickens_Hard,41,undirected
EHemingway_OldMan,EBronte_Wuthering,185,undirected
EHemingway_OldMan,Eliot_Adam,6,undirected
EHemingway_OldMan,Eliot_Mill,2,undirected
Eliot_Adam,Dickens_David,74,undirected
Eliot_Adam,Dickens_Hard,17,undirected
Eliot_Adam,EHemingway_OldMan,6,undirected
Eliot_Adam,Eliot_Middlemarch,332,undirected
Eliot_Adam,Eliot_Mill,546,undirected
Eliot_Middlemarch,ABronte_Agnes,18,undirected
Eliot_Middlemarch,Austen_Emma,39,undirected
Eliot_Middlemarch,Dickens_Bleak,6,undirected
Eliot_Middlemarch,Dickens_Hard,1,undirected
Eliot_Middlemarch,Eliot_Adam,332,undirected
Eliot_Middlemarch,Eliot_Mill,455,undirected
Eliot_Middlemarch,Fielding_Joseph,17,undirected
Eliot_Middlemarch,Fielding_Tom,4,undirected
Eliot_Middlemarch,Trollope_Barchester,213,undirected
Eliot_Middlemarch,Trollope_Phineas,91,undirected
Eliot_Middlemarch,Trollope_Prime,91,undirected
Eliot_Mill,ABronte_Agnes,2,undirected
Eliot_Mill,Dickens_Bleak,45,undirected
Eliot_Mill,Dickens_David,165,undirected
Eliot_Mill,Dickens_Hard,108,undirected
Eliot_Mill,EHemingway_OldMan,2,undirected
Eliot_Mill,Eliot_Adam,546,undirected
Eliot_Mill,Eliot_Middlemarch,455,undirected
Eliot_Mill,Sterne_Sentimental,1,undirected
Eliot_Mill,Thackeray_Vanity,1,undirected
Fielding_Joseph,Eliot_Middlemarch,17,undirected
Fielding_Joseph,Fielding_Tom,546,undirected
Fielding_Joseph,Richardson_Clarissa,19,undirected
Fielding_Joseph,Sterne_Tristram,124,undirected
Fielding_Joseph,Thackeray_Barry,242,undirected
Fielding_Joseph,Trollope_Barchester,80,undirected
Fielding_Tom,Austen_Pride,76,undirected
Fielding_Tom,Austen_Sense,34,undirected
Fielding_Tom,Eliot_Middlemarch,4,undirected
Fielding_Tom,Fielding_Joseph,546,undirected
Fielding_Tom,Richardson_Clarissa,221,undirected
Fielding_Tom,Richardson_Pamela,21,undirected
Fielding_Tom,Trollope_Barchester,87,undirected
Richardson_Clarissa,ABronte_Agnes,2,undirected
Richardson_Clarissa,ABronte_Tenant,92,undirected
Richardson_Clarissa,Austen_Pride,10,undirected
Richardson_Clarissa,Fielding_Joseph,19,undirected
Richardson_Clarissa,Fielding_Tom,221,undirected
Richardson_Clarissa,Richardson_Pamela,546,undirected
Richardson_Clarissa,Trollope_Barchester,5,undirected
Richardson_Pamela,ABronte_Agnes,69,undirected
Richardson_Pamela,ABronte_Tenant,182,undirected
Richardson_Pamela,Dickens_Bleak,1,undirected
Richardson_Pamela,Fielding_Tom,21,undirected
Richardson_Pamela,Richardson_Clarissa,546,undirected
Sterne_Sentimental,CBronte_Professor,114,undirected
Sterne_Sentimental,CBronte_Villette,19,undirected
Sterne_Sentimental,Dickens_Bleak,63,undirected
Sterne_Sentimental,Dickens_David,31,undirected
Sterne_Sentimental,Eliot_Mill,1,undirected
Sterne_Sentimental,Sterne_Tristram,546,undirected
Sterne_Sentimental,Thackeray_Barry,44,undirected
Sterne_Sentimental,Thackeray_Pendennis,1,undirected
Sterne_Tristram,CBronte_Professor,26,undirected
Sterne_Tristram,Dickens_Bleak,36,undirected
Sterne_Tristram,Fielding_Joseph,124,undirected
Sterne_Tristram,Sterne_Sentimental,546,undirected
Sterne_Tristram,Thackeray_Barry,87,undirected
Thackeray_Barry,CBronte_Professor,7,undirected
Thackeray_Barry,CBronte_Villette,1,undirected
Thackeray_Barry,Dickens_Bleak,17,undirected
Thackeray_Barry,Fielding_Joseph,242,undirected
Thackeray_Barry,Sterne_Sentimental,44,undirected
Thackeray_Barry,Sterne_Tristram,87,undirected
Thackeray_Barry,Thackeray_Pendennis,369,undirected
Thackeray_Barry,Thackeray_Vanity,450,undirected
Thackeray_Pendennis,CBronte_Villette,1,undirected
Thackeray_Pendennis,Dickens_Bleak,116,undirected
Thackeray_Pendennis,Sterne_Sentimental,1,undirected
Thackeray_Pendennis,Thackeray_Barry,369,undirected
Thackeray_Pendennis,Thackeray_Vanity,546,undirected
Thackeray_Vanity,CBronte_Villette,2,undirected
Thackeray_Vanity,Dickens_Bleak,53,undirected
Thackeray_Vanity,Dickens_David,32,undirected
Thackeray_Vanity,Dickens_Hard,3,undirected
Thackeray_Vanity,Eliot_Mill,1,undirected
Thackeray_Vanity,Thackeray_Barry,450,undirected
Thackeray_Vanity,Thackeray_Pendennis,546,undirected
Trollope_Barchester,ABronte_Agnes,6,undirected
Trollope_Barchester,Austen_Emma,15,undirected
Trollope_Barchester,Austen_Pride,71,undirected
Trollope_Barchester,Austen_Sense,39,undirected
Trollope_Barchester,Eliot_Middlemarch,213,undirected
Trollope_Barchester,Fielding_Joseph,80,undirected
Trollope_Barchester,Fielding_Tom,87,undirected
Trollope_Barchester,Richardson_Clarissa,5,undirected
Trollope_Barchester,Trollope_Phineas,455,undirected
Trollope_Barchester,Trollope_Prime,359,undirected
Trollope_Phineas,Eliot_Middlemarch,91,undirected
Trollope_Phineas,Trollope_Barchester,455,undirected
Trollope_Phineas,Trollope_Prime,546,undirected
Trollope_Prime,Eliot_Middlemarch,91,undirected
Trollope_Prime,Trollope_Barchester,359,undirected
Trollope_Prime,Trollope_Phineas,546,undirected
